"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"93",0.92,1989,892741.63598,892904.416381512,892741.63598,892904.416381512
"94",0.93,1989,998951.73593,999114.516331512,998951.73593,999114.516331512
"95",0.94,1989,1127736.4545,1127980.62510227,1127736.4545,1127980.62510227
"96",0.95,1989,1379060.5786,1379304.74920227,1379060.5786,1379304.74920227
"97",0.96,1989,1666205.7496,1666287.13980076,1666205.7496,1666287.13980076
"98",0.97,1989,2033684.7396,2033847.52000151,2033684.7396,2033847.52000151
"99",0.98,1989,2682003.919,2682085.30920076,2682003.919,2682085.30920076
"100",0.99,1989,4616420.0053,4616745.56610303,4616420.0053,4616745.56610303
"101",0.01,1992,-20201.08747,-20025.2598027521,-20201.08747,-20025.2598027521
"102",0.02,1992,-11709.47991,-11450.1529282562,-11709.47991,-11450.1529282562
"103",0.03,1992,-6346.359338,-6084.08934050415,-6346.359338,-6084.08934050415
"104",0.04,1992,-4058.094563,-3701.70849975208,-4058.094563,-3701.70849975208
"105",0.05,1992,-2020.108747,-1760.78176525623,-2020.108747,-1760.78176525623
"106",0.06,1992,-893.8534279,-774.599979104154,-893.8534279,-774.599979104154
"107",0.07,1992,-89.38534279,86.4423272479232,-89.38534279,86.4423272479232
"108",0.08,1992,0,86.4423272479232,0,86.4423272479232
"109",0.09,1992,0,172.884654495846,0,172.884654495846
"110",0.1,1992,0,265.213012827923,0,265.213012827923
"111",0.11,1992,178.77068558,433.999343095416,178.77068558,433.999343095416
"112",0.12,1992,589.94326241,801.525069567923,589.94326241,801.525069567923
"113",0.13,1992,1215.6406619,1334.89411079585,1215.6406619,1334.89411079585
"114",0.14,1992,1608.9361702,1874.14918304792,1608.9361702,1874.14918304792
"115",0.15,1992,2145.248227,2446.21537684792,2145.248227,2446.21537684792
"116",0.16,1992,2860.3309693,3036.15863934792,2860.3309693,3036.15863934792
"117",0.17,1992,3468.1513002,3728.63359069585,3468.1513002,3728.63359069585
"118",0.18,1992,4111.7257683,4457.49507729169,4111.7257683,4457.49507729169
"119",0.19,1992,5059.2104019,5270.79220904792,5059.2104019,5270.79220904792
"120",0.2,1992,6310.6052009,6429.85864979585,6310.6052009,6429.85864979585
"121",0.21,1992,7418.9834515,7675.36741769169,7418.9834515,7675.36741769169
"122",0.22,1992,8763.3390071,9105.53290239169,8763.3390071,9105.53290239169
"123",0.23,1992,10143.4487,10303.2964957917,10143.4487,10303.2964957917
"124",0.24,1992,11798.865248,11971.7499024958,11798.865248,11971.7499024958
"125",0.25,1992,13139.64539,13315.4730602479,13139.64539,13315.4730602479
"126",0.26,1992,14891.598109,15046.6056944958,14891.598109,15046.6056944958
"127",0.27,1992,16448.69078,16624.5184502479,16448.69078,16624.5184502479
"128",0.28,1992,18860.307329,19033.1919834958,18860.307329,19033.1919834958
"129",0.29,1992,20522.874704,20660.0052214958,20522.874704,20660.0052214958
"130",0.3,1992,23061.41844,23413.0737794958,23061.41844,23413.0737794958
"131",0.31,1992,25296.052009,25551.2806672396,25296.052009,25551.2806672396
"132",0.32,1992,27888.22695,28061.1116044958,27888.22695,28061.1116044958
"133",0.33,1992,30033.475177,30221.2938847438,30033.475177,30221.2938847438
