"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"247713",1420100,3823.9420239,0,1,"White",0
"247714",1364650,3786.1183161,0,1,"White",0
"247715",1432200,3873.0732547,0,1,"White",0
"247716",87800,7261.9285145,1,0,"Black",0
"247717",86800,7214.0485689,1,0,"Black",0
"247718",87800,7312.7560996,1,0,"Black",0
"247719",87900,7315.3540748,1,0,"Black",0
"247720",87800,7287.5427906,1,0,"Black",0
"247721",248700,6998.4143027,0,1,"White",0
"247722",248700,6936.3082904,0,1,"White",0
"247723",248700,6977.0715151,0,1,"White",0
"247724",248700,6967.1537769,0,1,"White",0
"247725",248700,6981.7385128,0,1,"White",0
"247726",5480100,4637.0221738,0,1,"White",0
"247727",5481100,4734.9173477,0,1,"White",0
"247728",5481100,4426.2962216,0,1,"White",0
"247729",5481100,4708.7074617,0,1,"White",0
"247730",5480100,4671.6451724,0,1,"White",0
"247731",-73800,4818.9667338,1,0,"Black",0
"247732",-73800,4833.1385171,1,0,"Black",0
"247733",-73800,4840.3093205,1,0,"Black",0
"247734",-73800,4823.1221908,1,0,"Black",0
"247735",-73800,4823.9654273,1,0,"Black",0
"247736",101439600,337.65419337,0,1,"White",0
"247737",66332500,344.55054183,0,1,"White",0
"247738",74302700,338.94278292,0,1,"White",0
"247739",94763500,341.61818042,0,1,"White",0
"247740",73290000,339.55227629,0,1,"White",0
"247741",1100300,129.72310524,1,0,"Black",0
"247742",1101300,150.59380408,1,0,"Black",0
"247743",1100300,147.0567742,1,0,"Black",0
"247744",1100300,143.29796049,1,0,"Black",0
"247745",1100300,144.7693427,1,0,"Black",0
"247746",18140,3519.2519109,1,0,"Black",0
"247747",18140,3489.133813,1,0,"Black",0
"247748",19150,3473.5342639,1,0,"Black",0
"247749",18140,3493.4446782,1,0,"Black",0
"247750",19140,3493.4462695,1,0,"Black",0
"247751",21310,6187.2618275,0,1,"White",0
"247752",21410,6190.773523,0,1,"White",0
"247753",21620,6185.7701525,0,1,"White",0
"247754",21000,6183.3791834,0,1,"White",0
"247755",20960,6181.4775222,0,1,"White",0
"247756",264000,6140.2380442,0,1,"White",0
"247757",251000,6166.3704477,0,1,"White",0
"247758",664000,4419.4429002,0,1,"White",0
"247759",297970,6219.7718417,0,1,"White",0
"247760",307900,6220.5390032,0,1,"White",0
"247761",64000,4997.6778551,0,1,"White",0
"247762",59900,5026.0561859,0,1,"White",0
"247763",58000,5026.0507647,0,1,"White",0
"247764",56800,5001.38469,0,1,"White",0
"247765",62000,5004.2628105,0,1,"White",0
"247766",3370,3774.2583631,1,0,"Black",0
"247767",3460,3777.5936356,1,0,"Black",0
"247768",2690,3741.7101443,1,0,"Black",0
"247769",3560,3753.325253,1,0,"Black",0
"247770",2820,3760.9834277,1,0,"Black",0
"247771",11636000,2192.3176992,0,1,"White",0
"247772",14090000,2193.2668972,0,1,"White",0
"247773",13757000,2023.2503179,0,1,"White",0
"247774",13757000,2235.4366799,0,1,"White",0
"247775",13484000,2195.527221,0,1,"White",0
"247776",311350,5606.728934,0,1,"White",0
"247777",308840,5928.4872028,0,1,"White",0
"247778",236340,5867.622667,0,1,"White",0
"247779",229840,5809.25628,0,1,"White",0
"247780",314550,5947.5881184,0,1,"White",0
"247781",24200,8696.0750339,0,1,"White",0
"247782",36100,8667.9963544,0,1,"White",0
"247783",12100,8658.5028007,0,1,"White",0
"247784",33800,8676.0221222,0,1,"White",0
"247785",16700,8663.1293241,0,1,"White",0
"247786",227800,6691.4854172,0,1,"White",0
"247787",227800,6666.03069,0,1,"White",0
"247788",227800,6655.7342832,0,1,"White",0
"247789",227800,6671.9702153,0,1,"White",0
"247790",227800,6659.9036485,0,1,"White",0
"247791",975699,691.7706122,0,1,"White",0
"247792",970699,730.99946883,0,1,"White",0
"247793",979699,724.48715276,0,1,"White",0
"247794",972699,717.04350359,0,1,"White",0
"247795",971699,733.74818035,0,1,"White",0
"247796",584000,3321.1923318,0,1,"White",0
"247797",598000,3515.2865989,0,1,"White",0
"247798",597100,3484.2134128,0,1,"White",0
"247799",602000,3441.3481442,0,1,"White",0
"247800",593000,3528.2680282,0,1,"White",0
"247801",75510,2732.8862548,0,1,"White",0
"247802",75610,2761.2238522,0,1,"White",0
"247803",75510,2807.6130632,0,1,"White",0
"247804",75610,2730.2694334,0,1,"White",0
"247805",75610,2737.3135587,0,1,"White",0
"247806",82540,1182.2240937,0,0,"Hispanic",0
"247807",123050,1120.1573544,0,0,"Hispanic",0
"247808",122760,1153.2018974,0,0,"Hispanic",0
"247809",95330,1220.1076338,0,0,"Hispanic",0
"247810",100830,1176.0745697,0,0,"Hispanic",0
"247811",35400,4271.3350249,0,1,"White",0
"247812",26700,4273.3899008,0,1,"White",0
"247813",38900,4270.3807347,0,1,"White",0
"247814",24900,4257.234668,0,1,"White",0
"247815",25660,4269.4127726,0,1,"White",0
"247816",31210,5286.1687205,0,1,"White",0
"247817",30210,5310.2913227,0,1,"White",0
"247818",30210,5298.8957548,0,1,"White",0
"247819",31210,5273.6291108,0,1,"White",0
"247820",30210,5299.0325556,0,1,"White",0
"247821",234500,4618.8387863,1,0,"Black",0
"247822",367500,4599.0106595,1,0,"Black",0
"247823",256600,4703.9613901,1,0,"Black",0
"247824",235600,4625.0886222,1,0,"Black",0
"247825",254600,4646.2854596,1,0,"Black",0
"247826",2900,5531.3866472,0,1,"White",0
"247827",3000,5542.6815657,0,1,"White",0
"247828",2900,5542.2747937,0,1,"White",0
"247829",2900,5526.8033795,0,1,"White",0
"247830",2900,5535.7931199,0,1,"White",0
"247831",-1600,8550.6168708,1,0,"Black",0
"247832",-1670,8516.5121933,1,0,"Black",0
"247833",-1490,8669.6909729,1,0,"Black",0
"247834",-1640,8557.451828,1,0,"Black",0
"247835",-1200,8569.43166,1,0,"Black",0
"247836",262420,7071.5281634,1,0,"Black",0
"247837",262420,7025.6725449,1,0,"Black",0
"247838",264620,7104.9254918,1,0,"Black",0
"247839",264720,7072.4451202,1,0,"Black",0
"247840",262120,7053.2755618,1,0,"Black",0
"247841",392400,1310.9617429,1,0,"Black",0
"247842",515400,3526.7495971,1,0,"Black",0
"247843",394400,1270.3653943,1,0,"Black",0
"247844",535400,3463.5894547,1,0,"Black",0
"247845",527400,3510.8490666,1,0,"Black",0
"247846",540820,4242.916646,0,1,"White",0
"247847",1109360,4485.3697951,0,1,"White",0
"247848",784180,4441.1302171,0,1,"White",0
"247849",477700,6133.3939589,0,1,"White",0
"247850",566380,4499.9479364,0,1,"White",0
"247851",91240,6794.4102322,0,1,"White",0
"247852",91340,6820.9183142,0,1,"White",0
"247853",93240,6850.9898447,0,1,"White",0
"247854",95340,6794.5154277,0,1,"White",0
"247855",95340,6820.3009541,0,1,"White",0
"247856",14201,5435.5772875,0,1,"White",0
"247857",12201,5425.9973034,0,1,"White",0
"247858",7801,5425.1049619,0,1,"White",0
"247859",6701,5433.6589003,0,1,"White",0
"247860",12201,5432.3602242,0,1,"White",0
"247861",-58950,4605.338018,0,1,"White",0
"247862",-64950,4526.1082861,0,1,"White",0
"247863",-56950,4624.4755905,0,1,"White",0
"247864",-65950,4614.8890269,0,1,"White",0
"247865",-64950,4560.9447825,0,1,"White",0
"247866",689100,1639.5594535,0,1,"White",0
"247867",689100,1733.3597974,0,1,"White",0
"247868",690100,1716.7422106,0,1,"White",0
"247869",689100,1699.7123088,0,1,"White",0
"247870",689000,1739.2140302,0,1,"White",0
"247871",127451750,393.66754972,0,1,"White",0
"247872",163211750,390.46551135,0,1,"White",0
"247873",167373750,389.74081098,0,1,"White",0
"247874",164693250,391.90904793,0,1,"White",0
"247875",127411250,390.16287521,0,1,"White",0
"247876",92250,7129.1462481,0,1,"White",0
"247877",92350,7119.8688404,0,1,"White",0
"247878",92250,7156.0090486,0,1,"White",0
"247879",92250,7113.1143742,0,1,"White",0
"247880",91850,7129.5140707,0,1,"White",0
"247881",37805800,317.75349961,0,1,"White",0
"247882",38956500,324.37818887,0,1,"White",0
"247883",41491050,317.62743631,0,1,"White",0
"247884",37568900,321.07430748,0,1,"White",0
"247885",40674730,322.60264575,0,1,"White",0
"247886",3609200,1137.7590756,0,1,"White",0
"247887",3609200,1139.1512041,0,1,"White",0
"247888",3609200,1052.7426923,0,1,"White",0
"247889",3609200,1160.4151052,0,1,"White",0
