"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"182",0.83,1992,375418.43972,379062.349587655,375418.43972,379062.349587655
"183",0.84,1992,395851.92908,400851.484035309,395851.92908,400851.484035309
"184",0.85,1992,422560.2695,427832.498673827,422560.2695,427832.498673827
"185",0.86,1992,449429.50355,453073.413417655,449429.50355,453073.413417655
"186",0.87,1992,485666.32151,489398.110661482,485666.32151,489398.110661482
"187",0.88,1992,515217.11584,520215.164739136,515217.11584,520215.164739136
"188",0.89,1992,564361.1773,570491.505763827,564361.1773,570491.505763827
"189",0.9,1992,639820.28369,643464.193557655,639820.28369,643464.193557655
"190",0.91,1992,693809.03073,698538.923609136,693809.03073,698538.923609136
"191",0.92,1992,753875.98109,762985.755759136,753875.98109,762985.755759136
"192",0.93,1992,861710.45863,865874.309543827,861710.45863,865874.309543827
"193",0.94,1992,996342.66194,999898.692523827,996342.66194,999898.692523827
"194",0.95,1992,1194188.1797,1198691.69493383,1194188.1797,1198691.69493383
"195",0.96,1992,1374853.8345,1378961.04210148,1374853.8345,1378961.04210148
"196",0.97,1992,1827215.1773,1829037.13223383,1827215.1773,1829037.13223383
"197",0.98,1992,2510834.279,2514478.18886765,2510834.279,2514478.18886765
"198",0.99,1992,4152379.60566476,4156023.51553241,4152379.60566476,4156023.51553241
"199",0.01,1995,-21283.77483,-16626.9528626773,-21283.77483,-16626.9528626773
"200",0.02,1995,-12069.15232,-7362.81963535467,-12069.15232,-7362.81963535467
"201",0.03,1995,-7845.783664,-3589.59745767734,-7845.783664,-3589.59745767734
"202",0.04,1995,-4490.459161,-653.308153709339,-4490.459161,-653.308153709339
"203",0.05,1995,-2503.97351,900.861703322665,-2503.97351,900.861703322665
"204",0.06,1995,-1001.589404,1902.45110732267,-1001.589404,1902.45110732267
"205",0.07,1995,-16.69315673,2201.790407968,-16.69315673,2201.790407968
"206",0.08,1995,0,3203.379811968,0,3203.379811968
"207",0.09,1995,0,3804.90221464533,0,3804.90221464533
"208",0.1,1995,100.1589404,4239.49304992266,100.1589404,4239.49304992266
"209",0.11,1995,534.18101545,5557.68367164533,534.18101545,5557.68367164533
"210",0.12,1995,1251.986755,6024.523299888,1251.986755,6024.523299888
"211",0.13,1995,1837.9165563,7063.40640894533,1837.9165563,7063.40640894533
"212",0.14,1995,2720.9845475,7661.59018012266,2720.9845475,7661.59018012266
"213",0.15,1995,3689.187638,8877.91558081333,3689.187638,8877.91558081333
"214",0.16,1995,4640.6975717,9497.83742082267,4640.6975717,9497.83742082267
"215",0.17,1995,5842.6048565,10313.5270597933,5842.6048565,10313.5270597933
"216",0.18,1995,6844.1942605,11414.706643936,6844.1942605,11414.706643936
"217",0.19,1995,7645.4657837,12417.4335683907,7645.4657837,12417.4335683907
"218",0.2,1995,8680.4415011,13318.8640318907,8680.4415011,13318.8640318907
"219",0.21,1995,9899.0419426,14738.9198746453,9899.0419426,14738.9198746453
"220",0.22,1995,11518.278146,15573.008951068,11518.278146,15573.008951068
"221",0.23,1995,13020.662252,17176.6895183227,13020.662252,17176.6895183227
"222",0.24,1995,14372.807947,18962.8572883227,14372.807947,18962.8572883227
"223",0.25,1995,16693.156733,20880.8640322907,16693.156733,20880.8640322907
"224",0.26,1995,18362.472406,22565.735341936,18362.472406,22565.735341936
"225",0.27,1995,19981.708609,24685.766246936,19981.708609,24685.766246936
"226",0.28,1995,22652.613687,27276.0493413227,22652.613687,27276.0493413227
"227",0.29,1995,25089.81457,29613.0912843227,25089.81457,29613.0912843227
"228",0.3,1995,27226.538631,31849.4055256453,27226.538631,31849.4055256453
"229",0.31,1995,29880.750552,33836.4599373227,29880.750552,33836.4599373227
